GET http://127.0.0.1:8000/ name=http://127.0.0.1:8000/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=335 notes=4 sig=0xc216b9ee
GET http://127.0.0.1:8000/errors.php name=errors.php type=pathinfo linked=no browsers=0 browser_used=FAST dup=0 code=200 len=0 notes=1 sig=0xffefffff
GET http://127.0.0.1:8000/history.php name=history.php type=pathinfo linked=no browsers=0 browser_used=FAST dup=0 code=200 len=233 notes=1 sig=0xffefffff
GET http://127.0.0.1:8000/index.php name=index.php type=pathinfo linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=453 notes=0 sig=0x6b4bd6f4
GET http://127.0.0.1:8000/index.php?logout=\x271\x27 name=logout type=param linked=yes browsers=0 browser_used=FAST dup=0 returns_404 code=302 len=335 notes=0 sig=0xffbfffff
GET http://127.0.0.1:8000/login.php name=login.php type=pathinfo linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=750 notes=1 sig=0xaf7d707a
POST http://127.0.0.1:8000/login.php DATA:username=Smith&password=skipfish&login_user= name=login_user type=param linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=751 notes=1 sig=0xffbed694
POST http://127.0.0.1:8000/login.php DATA:username=Smith&password=skipfish&login_user= name=password type=param linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=751 notes=1 sig=0xffbed694
POST http://127.0.0.1:8000/login.php DATA:username=Smith&password=skipfish&login_user= name=username type=param linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=751 notes=1 sig=0xcf3dc425
POST http://127.0.0.1:8000/login.php DATA:username=.bash_history&password=skipfish&login_user= name=.bash_history type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=820 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=.ssh&password=skipfish&login_user= name=.ssh type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=820 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=0&password=skipfish&login_user= name=0 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=805 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=03&password=skipfish&login_user= name=03 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=820 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=04&password=skipfish&login_user= name=04 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=820 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=12&password=skipfish&login_user= name=12 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=820 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=15&password=skipfish&login_user= name=15 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=820 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=1992&password=skipfish&login_user= name=1992 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=820 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=1995&password=skipfish&login_user= name=1995 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=820 notes=2 sig=0xff7ed694
POST http://127.0.0.1:8000/login.php DATA:username=2&password=skipfish&login_user= name=2 type=value linked=no browsers=0 browser_used=FAST dup=1 code=200 len=820 notes=2 sig=0xff7ed694
